,name,type,frequency
0,20,MONEY,3
1,3,MONEY,3
2,22,MONEY,3
3,24,MONEY,2
4,5,MONEY,2
5,1.10,MONEY,1
6,between $1.80 and $3,MONEY,1
7,12 dollars,MONEY,1
8,100-$200+.Drop,MONEY,1
9,13,MONEY,1
10,almost 90 dollar,MONEY,1
11,up to 5,MONEY,1
12,100,MONEY,1
13,8billion?WISH,MONEY,1
14,12,MONEY,1
15,8-$15,MONEY,1
16,around $4,MONEY,1
17,70,MONEY,1
18,more than 15 million dollars,MONEY,1
19,more than 5 dollars,MONEY,1
20,32,MONEY,1
21,150 dollars,MONEY,1
22,mid $2,MONEY,1
23,12.50-$17.00.$50,MONEY,1
24,6.25,MONEY,1
25,3 dollars,MONEY,1
26,2.50,MONEY,1
27,a few cents,MONEY,1
28,2.79,MONEY,1
29,2.40,MONEY,1
30,at least $24.February 1st,MONEY,1
31,0.18,MONEY,1
32,more than $ 2,MONEY,1
33,10 dollar's,MONEY,1
34,15,MONEY,1
35,8bill!Bought,MONEY,1
36,14,MONEY,1
37,6,MONEY,1
38,3.15,MONEY,1
39,9.51,MONEY,1
40,6.23,MONEY,1
41,WISH,STOCK,10
42,A,STOCK,2
43,IS,STOCK,2
44,FOR,STOCK,1
45,UK,STOCK,1
46,ARE,STOCK,1
47,LOW,STOCK,1
48,AG,STOCK,1
49,SNAP,STOCK,1
50,M,STOCK,1
51,GPCO,STOCK,1
52,CLOV,STOCK,1
53,MSFT,STOCK,1
54,PM,STOCK,1
55,VERY,STOCK,1
56,IBM,STOCK,1
57,PANW,STOCK,1
